건축물명,건축물 위치,층수(지상_지하),조사년도,총발생량(톤),일평균발생량(톤/일),미사용_하수도방류(톤/일)
현대캐피탈빌딩,마포구 양화로 161 (동교동) ,12/3,2015,0.0,0.0,0.0
북아현1-2구역조합,북아현로1길50(북아현동174),,2015,486.0,2.0,2.0
신촌자이엘라,신촌로149(대현동104-36),,2015,1247.0,6.0,6.0
명지대학교,거북골로 34(남가좌동 50-3),,2015,19488.0,105.0,105.0
그랜드힐튼호텔,연희로 353(홍은동 201-1),,2015,2105.0,11.0,11.0
서울여자간호대학,간호대로 38(홍제동 287-89),,2015,4619.0,25.0,25.0
브라운스톤연희,연희로 82(연희동 194-30),,2015,3701.0,20.0,20.0
연세대학,"신촌동 134 ,연세대",,2015,16095.0,87.0,87.0
연세의료원(바이오메디칼센타),대신동 52,,2015,3667.0,19.0,19.0
현대백화점,신촌로 83(창천동 30-33),,2015,20680.0,112.0,112.0
이화여대(ECC관),"이화여대길 52(대현동 11-1 ,이화여대",,2015,22302.0,121.0,121.0
김진성 ㈜버티고,연세로 8-1(창천동 18-58),,2015,3643.0,19.0,19.0
연세의료원(오폐수처리장),"연세로 50(신촌동 134 ,연세의료원(오폐수처리장) )",,2015,4316.0,23.0,23.0
동아일보사,충정로 28-1(충정로3가 58),,2015,4470.0,24.0,24.0
백상빌딩,신촌로231(북아현동221-7),,2015,959.0,5.0,5.0
해태드림아파트,은평구 은평로 82 (응암동),15/5,2015,2190.0,11.0,11.0
㈜드림스퀘어씨앤티,은평구 진관2로 29-21(진관동),9/5,2015,2841.0,15.0,15.0
NC백화점,은평구 불광로 20(불광동),16/8,2015,150.0,0.0,0.0
스마트파크사우나,은평구 불광천길 536(응암1동),15/4,2015,0.0,0.0,0.0
연세방병원,노원구 공릉동 680-10,9/3,2015,1048.8,5.0,5.0
진흥기업㈜,노원구 상계동 712-5,15/2,2015,1048.8,5.0,5.0
메트로종합건설㈜,노원구 공릉동 670-7(공릉동),17/2,2015,883.2,4.0,4.0
육군사관학교 2,노원구 화랑로 574(공릉동),4/2,2015,1656.0,9.0,9.0
현대엠코,노원구 동일로 990(공릉동),36/5,2015,386.4,2.0,2.0
㈜한화건설,노원구 동일로 990(중계동),3/3,2015,1472.0,8.0,8.0
육군사관학교,노원구 화랑로 574(공릉동),4/2,2015,1656.0,9.0,9.0
삼육대 미래관,노원구 화랑로 815(공릉동),5/2,2015,2760.0,15.0,15.0
서울여대,노원구 화랑로 126(공릉동),7/2,2015,1380.0,7.0,0.0
인덕대학교,노원구 초안산로12(월계동),1/2,2015,2944.0,16.0,0.0
교보리얼코,노원구 노해로 467(상계동),12/5,2015,18409.2,100.0,100.0
을지병원 제1별관,노원구 공릉로 327(하계동),4/5,2015,552.0,3.0,3.0
을지병원 행정동,노원구 공릉로 59나길52(하계동),5/4,2015,552.0,3.0,3.0
우남아파트,노원구 화랑로355(월계동),14~22/2,2015,412.16,2.0,0.0
