"건축물명","건축물 위치","층수(지상_지하)","연면적","조사년도","총발생량(톤)","일평균발생량(톤/일)","일평균이용현황(톤/일)_하천방류","일평균이용현황(톤/일)_도로청소","일평균이용현황(톤/일)_공원용수","일평균이용현황(톤/일)_화장실세척","일평균이용현황(톤/일)_건물용수","미사용_하수도방류(톤/일)","일평균이용현황(톤/일)_기타건물용수"
"공릉8단지 청솔아파트","노원로 1가길 10","15/3","43623.58","2024","2745.90","15.09","","","","","0.00","15.09",""
"대덕프라자","노원로 1길 67","5/3","12048.643","2024","1092.00","6.00","","","","","0.00","6.00",""
"우은빌딩","공릉동 441-92","6/4","1220","2024","24.50","0.13","","","","","0.00","0.13",""
"태영데시앙","독막로 320 (도화동)","17/7","30234","2024","1800.00","9.89","","","","","0.00","9.89",""
"㈜한샘","성암로 179 (상암동)","22/5","66648","2024","20951.80","115.12","","","","","0.00","115.12",""
"KBS미디어센타","매봉산로 45 (상암동)","21/5","44839","2024","902.70","4.96","","","","","0.00","4.96",""
"목동센트럴프라자","목동서로 349, (신정동)","15층/8층","2212","2024","74731.00","410.61","","","","20.00","5.00","385.61",""
"세양청마루2차주상복합","목동남로4길2, (신정동)","15층/4층","14142","2024","21365.00","117.39","","","","","0.00","117.39",""
"세양청마루아파트","목동남로2길 60-30, (신정동)","15층/4층","14142","2024","1500.00","8.24","","","","","0.00","8.24",""
"KTICC 목동센타","목동동로 233-5, (목동)","12층/4층","64198","2024","21721.70","119.35","","","","","0.00","119.35",""
"이스타빌3","목동서로 377, (신정동)","18층/4층","39495","2024","26243.90","144.20","","","","","0.00","144.20",""
"벽산미라지타워","목동동로 385, (목동)","26층/6층","8485","2024","2305.90","12.67","","","","","0.00","12.67",""
"승일타워2차","신월로 164, (신월동)","10층/3층","12700","2024","23074.00","126.78","","","","","0.00","126.78",""
"목동우림필유","목동서로 295, (신정동)","15층/5층","24182","2024","5252.50","28.86","","","","","0.00","28.86",""
"목동제이월드빌","목동서로 291, (신정동)","15층/4층","15727","2024","11537.00","63.39","","","","","0.00","63.39",""
"동문비젼오피스텔","목동서로 287, (신정동)","15층/5층","15000","2024","25638.30","140.87","","","","","0.00","140.87",""
"향도드림네스트","목동동로 437, (목동)","15층/3층","13608","2024","5126.90","28.17","","","","","0.00","28.17",""
"남부빌딩관리단","신월로 389, (신정동)","9층/6층","3487","2024","20593.30","113.15","","","","","12.00","101.15",""
"삼성쉐르빌2","목동동로 177, (신정동)","24층/5층","63860","2024","4251.50","23.36","","","","","0.00","23.36",""
"행복한세상","목동동로 309, (목동)","17층/5층","78111","2024","1780.00","9.78","","","","","0.00","9.78",""
"목동트윈빌","목동동로 339, (목동)","31층/5층","96516","2024","3845.70","21.13","","","","","0.00","21.13",""
"목동트라팰리스","오목로 299, (목동)","49층/5층","219124","2024","3575.00","19.64","","","","","0.00","19.64",""
"부영그린타운3","목동동로 411, (목동)","24층/7층","48555","2024","8190.00","45.00","","","","","0.00","45.00",""
"현대월드타워","목동서로 77, (목동)","24층/6층","59767","2024","19228.30","105.65","","","","","0.00","105.65",""
"㈜SBS","목동서로 161, (목동)","22층/4층","61560","2024","12285.00","67.50","","","","","0.00","67.50",""
"삼성쉐르빌1","목동동로 189, (신정동)","39층/5층","112140","2024","46100.60","253.30","","","","","0.00","253.30",""
"현대41타워","목동동로 293, (목동)","40층/7층","101346","2024","6424.60","35.30","","","","","0.00","35.30",""
"하이페리온2 오피스텔 상가","오목로 300, (목동)","41층/4층","225689","2024","4550.00","25.00","","","","","0.00","25.00",""
"하이페리온2 아파트","오목로 300, (목동)","41층/4층","225689","2024","4368.00","24.00","","","","","0.00","24.00",""
"서교동 복합시설 신축공사","서교동 354-22","/","","2024","1652.60","9.08","","","","","0.00","9.08",""
"근린생활시설(고광노)","와우산로 67(서교동 407-1)","6/3","1140","2024","5.50","0.03","","","","","0.00","0.03",""
"푸르지오 더 센트럴","아현동 275-2","18/6","27327","2024","1727.20","9.49","","","","","0.00","9.49",""
